가,ㄱㅏ
는적,ㄴㅡㄴㅈㅓㄱ
는지럭,ㄴㅡㄴㅈㅣㄹㅓㄱ
는질,ㄴㅡㄴㅈㅣㄹ
늘씬,ㄴㅡㄹㅆㅣㄴ
늘쩡,ㄴㅡㄹㅉㅓㅇ
늘컹,ㄴㅡㄹㅋㅓㅇ
늘큰,ㄴㅡㄹㅋㅡㄴ
늠름,ㄴㅡㅁㄹㅡㅁ
늠실,ㄴㅡㅁㅅㅣㄹ
늠연,ㄴㅡㅁㅇㅕㄴ
능글,ㄴㅡㅇㄱㅡㄹ
능란,ㄴㅡㅇㄹㅏㄴ
능숙,ㄴㅡㅇㅅㅜㄱ
니글,ㄴㅣㄱㅡㄹ
니끼,ㄴㅣㄲㅣ
다,ㄷㅏ
다급,ㄷㅏㄱㅡㅂ
다기,ㄷㅏㄱㅣ
다난,ㄷㅏㄴㅏㄴ
다단,ㄷㅏㄷㅏㄴ
다달,ㄷㅏㄷㅏㄹ
다독,ㄷㅏㄷㅗㄱ
다듬,ㄷㅏㄷㅡㅁ
다듬작,ㄷㅏㄷㅡㅁㅈㅏㄱ
다박,ㄷㅏㅂㅏㄱ
다분,ㄷㅏㅂㅜㄴ
다사,ㄷㅏㅅㅏ
다소곳,ㄷㅏㅅㅗㄱㅗㅅ
다중,ㄷㅏㅈㅜㅇ
다채,ㄷㅏㅊㅐ
다팔,ㄷㅏㅍㅏㄹ
닥다글,ㄷㅏㄱㄷㅏㄱㅡㄹ
단,ㄷㅏㄴ
단단,ㄷㅏㄴㄷㅏㄴ
단란,ㄷㅏㄴㄹㅏㄴ
단순,ㄷㅏㄴㅅㅜㄴ
단정,ㄷㅏㄴㅈㅓㅇ
단조,ㄷㅏㄴㅈㅗ
단촐,ㄷㅏㄴㅊㅗㄹ
단호,ㄷㅏㄴㅎㅗ
달막,ㄷㅏㄹㅁㅏㄱ
달망,ㄷㅏㄹㅁㅏㅇ
달착지근,ㄷㅏㄹㅊㅏㄱㅈㅣㄱㅡㄴ
달콤,ㄷㅏㄹㅋㅗㅁ
담,ㄷㅏㅁ
담담,ㄷㅏㅁㄷㅏㅁ
담대,ㄷㅏㅁㄷㅐ
담백,ㄷㅏㅁㅂㅐㄱ
답답,ㄷㅏㅂㄷㅏㅂ
답작,ㄷㅏㅂㅈㅏㄱ
당,ㄷㅏㅇ
당돌,ㄷㅏㅇㄷㅗㄹ
당싯,ㄷㅏㅇㅅㅣㅅ
당연,ㄷㅏㅇㅇㅕㄴ
대,ㄷㅐ
대견,ㄷㅐㄱㅕㄴ
대공,ㄷㅐㄱㅗㅇ
대굴,ㄷㅐㄱㅜㄹ
대꾼,ㄷㅐㄲㅜㄴ
대남,ㄷㅐㄴㅏㅁ
대단,ㄷㅐㄷㅏㄴ
대대,ㄷㅐㄷㅐ
대미,ㄷㅐㅁㅣ
대민,ㄷㅐㅁㅣㄴ
대범,ㄷㅐㅂㅓㅁ
대북,ㄷㅐㅂㅜㄱ
대서방,ㄷㅐㅅㅓㅂㅏㅇ
대외,ㄷㅐㅇㅚ
대인,ㄷㅐㅇㅣㄴ
더덜,ㄷㅓㄷㅓㄹ
더듬,ㄷㅓㄷㅡㅁ
더듬적,ㄷㅓㄷㅡㅁㅈㅓㄱ
더벅,ㄷㅓㅂㅓㄱ
더부룩,ㄷㅓㅂㅜㄹㅜㄱ
더펄,ㄷㅓㅍㅓㄹ
덕더글,ㄷㅓㄱㄷㅓㄱㅡㄹ
덜룽,ㄷㅓㄹㄹㅜㅇ
덤덤,ㄷㅓㅁㄷㅓㅁ
덥적,ㄷㅓㅂㅈㅓㄱ
덩드럭,ㄷㅓㅇㄷㅡㄹㅓㄱ
덩싯,ㄷㅓㅇㅅㅣㅅ
데굴,ㄷㅔㄱㅜㄹ
데퉁,ㄷㅔㅌㅜㅇ
도,ㄷㅗ
도근,ㄷㅗㄱㅡㄴ
도닥,ㄷㅗㄷㅏㄱ
도도,ㄷㅗㄷㅗ
도란,ㄷㅗㄹㅏㄴ
도리반,ㄷㅗㄹㅣㅂㅏㄴ
도손,ㄷㅗㅅㅗㄴ
도저,ㄷㅗㅈㅓ
도톰,ㄷㅗㅌㅗㅁ
도툼,ㄷㅗㅌㅜㅁ
독,ㄷㅗㄱ
독살,ㄷㅗㄱㅅㅏㄹ
독특,ㄷㅗㄱㅌㅡㄱ
돈독,ㄷㅗㄴㄷㅗㄱ
동,ㄷㅗㅇ
동계,ㄷㅗㅇㄱㅖ
동그마,ㄷㅗㅇㄱㅡㅁㅏ
동그스름,ㄷㅗㅇㄱㅡㅅㅡㄹㅡㅁ
동글납작,ㄷㅗㅇㄱㅡㄹㄴㅏㅂㅈㅏㄱ
동일,ㄷㅗㅇㅇㅣㄹ
되롱,ㄷㅚㄹㅗㅇ
되룽,ㄷㅚㄹㅜㅇ
되작,ㄷㅚㅈㅏㄱ
되착,ㄷㅚㅊㅏㄱ
되통,ㄷㅚㅌㅗㅇ
두근,ㄷㅜㄱㅡㄴ
두덕,ㄷㅜㄷㅓㄱ
두덜,ㄷㅜㄷㅓㄹ
두둑,ㄷㅜㄷㅜㄱ
두런,ㄷㅜㄹㅓㄴ
두렷,ㄷㅜㄹㅕㅅ
두루뭉술,ㄷㅜㄹㅜㅁㅜㅇㅅㅜㄹ
두리뭉실,ㄷㅜㄹㅣㅁㅜㅇㅅㅣㄹ
두리번,ㄷㅜㄹㅣㅂㅓㄴ
두리벙,ㄷㅜㄹㅣㅂㅓㅇ
두선,ㄷㅜㅅㅓㄴ
두순,ㄷㅜㅅㅜㄴ
두툼,ㄷㅜㅌㅜㅁ
둔중,ㄷㅜㄴㅈㅜㅇ
둔탁,ㄷㅜㄴㅌㅏㄱ
둥그스럼,ㄷㅜㅇㄱㅡㅅㅡㄹㅓㅁ
둥그스름,ㄷㅜㅇㄱㅡㅅㅡㄹㅡㅁ
둥글납작,ㄷㅜㅇㄱㅡㄹㄴㅏㅂㅈㅏㄱ
둥글넓적,ㄷㅜㅇㄱㅡㄹㄴㅓㄼㅈㅓㄱ
둥싯,ㄷㅜㅇㅅㅣㅅ
뒤덤벙,ㄷㅟㄷㅓㅁㅂㅓㅇ
뒤룽,ㄷㅟㄹㅜㅇ
뒤스럭,ㄷㅟㅅㅡㄹㅓㄱ
뒤적,ㄷㅟㅈㅓㄱ
뒤척,ㄷㅟㅊㅓㄱ
뒤치락,ㄷㅟㅊㅣㄹㅏㄱ
뒤퉁,ㄷㅟㅌㅜㅇ
드릉,ㄷㅡㄹㅡㅇ
득시글,ㄷㅡㄱㅅㅣㄱㅡㄹ
득실,ㄷㅡㄱㅅㅣㄹ
들까불,ㄷㅡㄹㄲㅏㅂㅜㄹ
들락,ㄷㅡㄹㄹㅏㄱ
들랑,ㄷㅡㄹㄹㅏㅇ
들먹,ㄷㅡㄹㅁㅓㄱ
들멍,ㄷㅡㄹㅁㅓㅇ
들썽,ㄷㅡㄹㅆㅓㅇ
들척,ㄷㅡㄹㅊㅓㄱ
들큰,ㄷㅡㄹㅋㅡㄴ
따독,ㄸㅏㄷㅗㄱ
따듬,ㄸㅏㄷㅡㅁ
따듬작,ㄸㅏㄷㅡㅁㅈㅏㄱ
따뜻,ㄸㅏㄸㅡㅅ
따사,ㄸㅏㅅㅏ
따짝,ㄸㅏㅉㅏㄱ
딱따글,ㄸㅏㄱㄸㅏㄱㅡㄹ
딸막,ㄸㅏㄹㅁㅏㄱ
때굴,ㄸㅐㄱㅜㄹ
